episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
30,940800,576000,0.366667,1.833333,0.483871,0.005556,26,4,0,284151.53125,-577.3804403481822
31,710400,576000,0.166667,1.566667,0.468750,0.005556,26,3,0,264337.4375,-562.4802867383512
32,940800,576000,0.250000,2.925000,0.462725,0.005556,26,4,0,253223.28125,-552.9564772145417
33,940800,576000,0.250000,2.766667,0.490463,0.000000,26,4,0,260450.75,-562.4802867383512
34,1171200,576000,0.333333,2.025000,0.477454,0.005556,26,2,0,246489.03125,-562.4802867383512
35,1171200,672000,0.166667,1.700000,0.487805,0.000000,26,8,0,250914.6875,-572.0040962621607
36,1171200,576000,0.000000,2.500000,0.478723,0.005556,26,5,0,254159.609375,-577.3804403481822
37,1171200,576000,0.000000,3.166667,0.159433,0.016667,26,5,0,244819.359375,-572.0040962621607
38,940800,576000,0.600000,3.333333,0.487805,0.000000,26,1,0,232570.71875,-572.0040962621607
39,1171200,672000,0.250000,2.266667,0.474934,0.000000,26,8,0,210455.625,-562.4802867383512
40,940800,576000,0.000000,2.000000,0.453401,0.000000,26,1,0,212951.46875,-577.3804403481822
41,710400,576000,0.250000,2.366667,0.486486,0.000000,25,3,0,201112.34375,-562.4802867383512
42,710400,576000,0.166667,1.233333,0.485175,0.000000,25,3,0,190367.5,-553.289810547875
43,1171200,576000,0.000000,2.266667,0.419580,0.022222,25,2,0,178288.671875,-553.289810547875
44,1171200,576000,0.285714,2.023810,0.459184,0.000000,26,2,0,200059.453125,-572.3374295954941
45,940800,576000,1.133333,1.583333,0.450000,0.005556,26,4,0,176196.109375,-572.0040962621607
46,710400,576000,0.966667,1.992857,0.482574,0.016667,26,0,0,160088.0,-562.4802867383512
47,710400,672000,0.900000,3.433333,0.466321,0.000000,26,6,0,144780.390625,-552.9564772145417
48,710400,576000,0.285714,2.558333,0.478723,0.000000,26,0,0,136219.015625,-558.3328213005632
49,940800,576000,0.200000,2.100000,0.352941,0.000000,26,1,0,102839.5546875,-552.9564772145417
50,940800,576000,0.000000,2.200000,0.469974,0.016667,26,4,0,116096.6484375,-562.4802867383512
51,710400,576000,0.333333,2.464286,0.487805,0.000000,26,0,0,111909.3828125,-562.4802867383512
52,1171200,576000,0.366667,2.400000,0.476190,0.044444,26,2,0,96017.390625,-552.9564772145417
53,1171200,576000,0.000000,1.900000,0.407240,0.000000,26,5,0,92275.8203125,-572.0040962621607
54,940800,576000,0.000000,1.950000,0.477454,0.016667,26,1,0,79320.6171875,-572.0040962621607
55,940800,576000,0.166667,2.809524,0.490463,0.005556,26,1,0,75567.375,-562.4802867383512
56,710400,576000,0.200000,2.633333,0.473684,0.000000,26,0,0,67038.515625,-562.4802867383512
57,1171200,672000,0.200000,2.221429,0.469974,0.005556,26,8,0,39530.0625,-552.9564772145417
58,710400,576000,0.000000,1.400000,0.490463,0.000000,26,3,0,44924.12890625,-577.3804403481822
59,1171200,576000,0.333333,1.583333,0.455696,0.005556,26,5,0,29629.630859375,-552.9564772145417
60,940800,576000,0.285714,2.630952,0.481283,0.005556,26,1,0,47869.44140625,-572.0040962621607
61,1171200,576000,0.333333,3.666667,0.265096,0.005556,26,5,0,27404.77734375,-562.4802867383512
62,940800,672000,0.333333,2.166667,0.473684,0.016667,26,7,0,13018.2333984375,-572.0040962621607
63,940800,576000,0.250000,2.833333,0.477454,0.005556,26,1,0,1087.1678466796875,-567.8566308243727
