episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
203,1171200,300000,0.488119,2.023924,0.461538,0.000000,26,2,0,3090.753173828125,-558.3328213005632
204,940800,672000,0.363218,2.146116,0.466321,0.000000,26,7,0,1106.2647705078125,-556.547107014849
205,710400,672000,0.441176,2.035947,0.486486,0.005556,25,6,0,2492.19970703125,-567.8566308243727
206,1171200,672000,0.355686,1.996909,0.452261,0.000000,26,8,0,1105.8385009765625,-558.6661546338966
207,1171200,672000,0.353012,1.940241,0.456853,0.000000,25,8,0,3887.397705078125,-577.3804403481822
208,940800,499200,0.166667,3.097619,0.485175,0.000000,25,4,0,3250.79541015625,-577.7137736815156
209,940800,499200,0.427273,2.420568,0.451128,0.000000,26,4,0,1687.447509765625,-558.5125448028673
210,710400,672000,1.041667,2.873016,0.329670,0.000000,26,6,0,165.67919921875,-558.179211469534
211,940800,300000,0.352319,2.548334,0.472441,0.000000,24,1,0,205.04513549804688,-558.3328213005632
212,940800,499200,0.365684,2.667736,0.466321,0.000000,26,4,0,2797.153564453125,-547.6899641577061
213,940800,672000,0.324074,2.394343,0.314136,0.044444,26,7,0,268.2665710449219,-558.179211469534
214,940800,499200,0.324016,2.301034,0.226700,0.011111,26,4,0,72.4535140991211,-567.8566308243727
215,940800,499200,0.485714,3.297619,0.476190,0.000000,26,4,0,116.29326629638672,-558.179211469534
216,710400,300000,0.500000,2.864286,0.389610,0.000000,26,0,0,451.3316650390625,-558.179211469534
217,1171200,300000,0.338191,3.053992,0.472441,0.000000,25,2,0,4731.87646484375,-537.4994879672299
218,1171200,499200,0.325389,2.228712,0.466321,0.000000,26,5,0,126.55014038085938,-556.8804403481822
219,710400,499200,0.327836,2.330243,0.486486,0.000000,26,3,0,180.8831329345703,-567.7030209933436
220,940800,499200,0.395551,2.425236,0.456853,0.000000,26,4,0,131.09999084472656,-548.6554019457245
221,1171200,499200,0.343251,2.240459,0.454545,0.000000,26,5,0,650.58935546875,-558.179211469534
222,1171200,672000,0.212005,2.285987,0.450000,0.000000,25,8,0,446.9028015136719,-567.7030209933436
223,1171200,499200,0.733333,2.129762,0.436893,0.005556,25,5,0,1521.2666015625,-577.7137736815156
224,940800,300000,0.181818,3.340404,0.476190,0.000000,25,1,0,698.8123168945312,-568.0363543266769
225,940800,300000,0.442906,3.018979,0.482574,0.000000,26,1,0,10.091014862060547,-547.3566308243727
226,940800,300000,0.323763,3.100543,0.482574,0.000000,25,1,0,1874.1331787109375,-547.0232974910394
227,710400,300000,0.349487,3.019389,0.466321,0.000000,25,0,0,1306.021240234375,-547.3566308243727
228,1171200,300000,0.372334,3.069901,0.466321,0.000000,25,2,0,1907.58984375,-537.8328213005632
229,710400,499200,0.000000,3.015873,0.474934,0.000000,25,3,0,196.3710174560547,-556.8804403481822
230,1171200,499200,0.407785,2.309281,0.456853,0.000000,25,5,0,1196.99365234375,-548.9887352790578
231,940800,300000,0.346306,2.630372,0.466321,0.011111,26,1,0,96.11634063720703,-568.0363543266769
232,940800,300000,0.330725,3.050083,0.371901,0.027778,25,1,0,30.451078414916992,-547.0232974910394
233,710400,300000,0.583333,3.300000,0.474934,0.000000,25,0,0,1.5529017448425293,-547.3566308243727
234,940800,499200,0.353031,2.729904,0.482574,0.000000,26,4,0,910.8724975585938,-537.8328213005632
235,710400,499200,0.314003,2.362367,0.424528,0.000000,25,3,0,801.708251953125,-558.179211469534
236,710400,300000,0.250000,2.947619,0.280811,0.000000,25,0,0,17.838558197021484,-548.9887352790578
237,940800,300000,0.435604,2.921914,0.476190,0.000000,26,1,0,271.98419189453125,-537.8328213005632
238,1171200,499200,0.319766,3.023866,0.460358,0.005556,26,5,0,4.053153991699219,-547.0232974910394
239,940800,499200,0.311969,2.274374,0.474934,0.011111,26,4,0,138.40264892578125,-567.7030209933436
240,940800,672000,0.337189,2.114634,0.476190,0.000000,26,7,0,87.51451873779297,-558.179211469534
241,710400,499200,0.500000,2.683333,0.436893,0.005556,26,3,0,2568.5048828125,-567.8566308243727
242,940800,672000,0.401116,2.368942,0.459184,0.005556,25,7,0,1164.2490234375,-548.6554019457245
243,1171200,672000,0.370858,1.913512,0.483871,0.000000,25,8,0,558.3482666015625,-568.1899641577061
244,940800,672000,0.257257,1.905747,0.201568,0.011111,26,7,0,2023.22607421875,-577.7137736815156
245,1171200,499200,0.200000,2.738095,0.447761,0.005556,26,5,0,3146.063720703125,-567.8566308243727
246,710400,499200,0.389218,2.330465,0.466321,0.000000,26,3,0,3866.006103515625,-567.7030209933436
247,940800,672000,0.250000,3.016667,0.459184,0.000000,26,7,0,49.64812469482422,-548.6554019457245
248,1171200,672000,0.328662,1.954908,0.375000,0.000000,26,8,0,1245.675537109375,-567.8566308243727
249,710400,672000,0.000000,1.666667,0.462725,0.000000,26,6,0,28.794254302978516,-577.3804403481822
250,1171200,672000,0.000000,2.833333,0.461538,0.000000,26,8,0,765.4793701171875,-558.3328213005632
251,1171200,499200,0.317422,2.084057,0.472441,0.000000,26,5,0,7318.46630859375,-577.3804403481822
252,940800,300000,0.346795,2.674205,0.463918,0.000000,25,1,0,119.29135131835938,-567.7030209933436
253,940800,499200,0.319088,3.042113,0.466321,0.000000,24,4,0,7.056636810302734,-547.3566308243727
254,710400,300000,0.000000,2.654762,0.158311,0.000000,24,0,0,196.6670684814453,-558.8458781362007
255,710400,499200,0.380597,2.722354,0.422535,0.000000,26,3,0,4300.34619140625,-538.1661546338966
256,710400,300000,0.349010,3.070959,0.476190,0.005556,25,0,0,27.96772575378418,-548.6554019457245
257,710400,499200,0.343727,2.348618,0.448878,0.000000,26,3,0,2315.140380859375,-537.8328213005632
258,940800,499200,0.397571,2.256192,0.452261,0.005556,26,4,0,2405.64990234375,-548.6554019457245
259,710400,672000,0.338962,2.136666,0.343511,0.000000,26,6,0,1.05556058883667,-558.179211469534
260,710400,499200,0.374740,2.176712,0.445545,0.005556,26,3,0,2.741344690322876,-558.3328213005632
261,940800,300000,0.405095,3.067365,0.461538,0.005556,26,1,0,0.7184176445007324,-548.6554019457245
262,710400,672000,0.314320,2.020983,0.462725,0.000000,26,6,0,0.48066258430480957,-547.0232974910394
263,710400,499200,0.294770,2.316025,0.450000,0.000000,26,3,0,1744.2196044921875,-558.3328213005632
264,940800,300000,0.893382,3.588235,0.459184,0.000000,26,1,0,127.06149291992188,-548.6554019457245
265,940800,672000,0.344633,3.103049,0.461538,0.000000,25,7,0,0.005382314324378967,-547.0232974910394
266,710400,499200,0.000000,2.800000,0.459184,0.000000,25,3,0,6405.1962890625,-568.1899641577061
267,940800,672000,0.468515,2.323239,0.485175,0.000000,26,7,0,2885.94677734375,-548.9887352790578
268,940800,300000,0.342972,3.000209,0.476190,0.000000,25,1,0,205.62062072753906,-567.8566308243727
269,1171200,672000,0.181818,3.327778,0.476190,0.005556,25,8,0,41.815513610839844,-547.3566308243727
270,1171200,499200,0.500000,3.016667,0.458015,0.000000,25,5,0,41.61604309082031,-577.7137736815156
271,710400,499200,0.331734,2.295091,0.450000,0.000000,26,3,0,949.34619140625,-568.0363543266769
272,1171200,499200,0.288288,2.282362,0.466321,0.000000,26,5,0,1259.6953125,-548.6554019457245
273,710400,672000,0.416667,3.207143,0.466321,0.000000,26,6,0,2099.433837890625,-567.7030209933436
