episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,aloss,closs,reward
29,940800,576000,0.404752,1.964494,0.347490,0.011111,26,1,0,294986.625,-577.3804403481822
30,1171200,672000,0.394838,2.163145,0.462725,0.011111,25,8,0,276741.3125,-562.4802867383512
31,1171200,672000,0.333333,2.171429,0.452261,0.011111,26,8,0,288873.71875,-577.7137736815156
32,940800,576000,0.200000,1.650000,0.453401,0.011111,26,4,0,283015.5,-577.3804403481822
33,1171200,672000,0.349424,1.864324,0.473684,0.005556,26,8,0,263233.875,-562.4802867383512
34,710400,576000,0.373962,1.880466,0.335196,0.016667,25,3,0,278770.0,-577.3804403481822
35,940800,672000,0.424838,2.076336,0.465116,0.011111,25,7,0,246820.109375,-553.289810547875
36,1171200,672000,0.371449,1.796416,0.435835,0.022222,26,8,0,258016.09375,-568.1899641577061
37,1171200,672000,0.388766,1.883767,0.461538,0.005556,26,8,0,259497.34375,-577.3804403481822
38,940800,672000,0.428879,1.917151,0.458015,0.005556,26,7,0,255944.59375,-577.3804403481822
39,940800,576000,0.354552,1.917409,0.446650,0.011111,25,4,0,239740.109375,-567.8566308243727
40,940800,672000,0.360837,1.974233,0.454545,0.022222,26,7,0,228797.1875,-562.8136200716846
41,710400,576000,0.436915,1.943434,0.330275,0.016667,26,0,0,228490.890625,-567.8566308243727
42,940800,576000,0.556804,2.107610,0.442260,0.016667,26,4,0,206732.28125,-552.9564772145417
43,1171200,576000,0.600000,1.800000,0.462725,0.011111,26,5,0,209676.734375,-562.4802867383512
44,1171200,576000,0.327796,2.143877,0.460358,0.011111,26,5,0,190637.125,-572.0040962621607
45,710400,672000,0.363532,2.139907,0.461538,0.005556,26,6,0,184781.859375,-572.0040962621607
46,940800,576000,0.436539,1.954227,0.454545,0.016667,26,4,0,162823.921875,-558.3328213005632
47,710400,576000,0.425143,2.032740,0.237467,0.050000,26,0,0,158134.90625,-562.4802867383512
48,1171200,672000,0.368977,1.859403,0.454545,0.011111,26,8,0,162399.625,-552.9564772145417
49,710400,576000,0.333333,2.266667,0.472441,0.005556,26,0,0,173861.46875,-577.3804403481822
50,710400,576000,0.333333,1.850000,0.229299,0.038889,26,0,0,146160.25,-552.9564772145417
51,710400,576000,0.407791,2.062296,0.440098,0.022222,26,0,0,134347.75,-552.9564772145417
52,710400,672000,0.355664,2.050111,0.437956,0.016667,25,6,0,132836.671875,-552.9564772145417
53,1171200,576000,0.358809,1.836655,0.462725,0.011111,26,2,0,101324.828125,-558.6661546338966
54,940800,576000,0.234600,2.043162,0.471204,0.005556,25,4,0,124028.2109375,-572.0040962621607
55,710400,576000,0.309438,2.003100,0.411899,0.033333,26,0,0,87374.0078125,-562.8136200716846
56,1171200,576000,0.327638,2.050479,0.437956,0.011111,26,5,0,72372.375,-552.9564772145417
57,1171200,576000,0.000000,2.714286,0.453401,0.016667,26,2,0,74371.8046875,-572.0040962621607
58,1171200,576000,0.380892,2.023617,0.462725,0.005556,25,2,0,61773.62109375,-572.0040962621607
59,1171200,576000,0.222087,1.976031,0.124567,0.044444,26,5,0,46598.97265625,-572.3374295954941
60,940800,672000,0.480769,3.345960,0.473684,0.005556,26,7,0,44878.1640625,-572.0040962621607
61,940800,576000,0.267159,1.988434,0.450000,0.022222,26,1,0,38016.6328125,-567.8566308243727
62,710400,576000,0.338598,2.081028,0.426540,0.011111,26,0,0,10776.6865234375,-562.4802867383512
63,1171200,672000,0.348348,1.947094,0.463918,0.016667,26,8,0,20433.197265625,-552.9564772145417
