episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
116,710400,1036800,0.333333, 2.021429, 0.477454, 0.000000, 60,22, 0.07794028520584106,0.848834437941018
117,710400,1036800,0.476190, 0.970238, 0.504202, 0.000000, 60,7, 0.017241347581148148,0.848834437941018
118,710400,1036800,0.444444, 1.726190, 0.502793, 0.000000, 60,30, 0.012334547005593777,0.848834437941018
119,710400,1113600,0.761905, 1.458333, 0.482574, 0.000000, 60,3, 0.010510724037885666,0.8430789581987997
120,710400,1036800,0.333333, 0.702381, 0.487805, 0.000000, 60,17, 0.04152670130133629,0.848834437941018
121,710400,1209600,0.342857, 2.120238, 0.469974, 0.000000, 60,58, 0.05646111071109772,0.8349986880014587
122,710400,1036800,0.400000, 1.208333, 0.469974, 0.000000, 60,19, 0.0970153957605362,0.848834437941018
123,710400,1036800,0.366667, 1.144444, 0.504202, 0.000000, 60,4, 0.05890338495373726,0.848834437941018
124,710400,1382400,0.542857, 1.535714, 0.491803, 0.000000, 60,44, 0.015595603734254837,0.8178490525736161
125,710400,1036800,0.410714, 0.857143, 0.469974, 0.000000, 60,34, 0.021071724593639374,0.848834437941018
126,710400,1785600,0.500000, 1.547619, 0.482574, 0.000000, 60,41, 0.011441735550761223,0.7636797974196674
127,710400,1632000,0.400000, 0.833333, 0.493151, 0.000000, 60,22, 0.02242005057632923,0.7867639148918597
128,710400,1036800,0.400000, 1.523810, 0.493151, 0.000000, 60,62, 0.0064896466210484505,0.848834437941018
129,710400,1785600,0.533333, 2.000000, 0.491803, 0.000000, 60,32, 0.0296801570802927,0.7636797974196674
130,710400,1785600,0.750000, 1.619048, 0.469974, 0.000000, 60,11, 0.008795458823442459,0.7636797974196674
131,710400,1036800,0.400000, 1.200000, 0.466321, 0.005556, 60,30, 0.005596653558313847,0.848834437941018
132,710400,1209600,0.400000, 1.695238, 0.481283, 0.000000, 60,46, 0.01877332292497158,0.8349986880014587
133,710400,1382400,0.771429, 1.619048, 0.466321, 0.000000, 60,47, 0.009234648197889328,0.8178490525736161
134,710400,1036800,0.400000, 1.450000, 0.467532, 0.000000, 60,47, 0.014205627143383026,0.848834437941018
135,710400,1785600,0.700000, 2.271429, 0.473684, 0.000000, 60,46, 0.003297672141343355,0.7636797974196674
136,710400,1785600,0.641148, 1.690395, 0.358566, 0.000000, 60,46, 0.0035968110896646976,0.7636797974196674
137,710400,1036800,0.572727, 1.476768, 0.482574, 0.000000, 60,7, 0.05067845806479454,0.848834437941018
138,710400,1785600,0.595238, 1.898413, 0.504202, 0.000000, 60,61, 0.005577431060373783,0.7636797974196674
139,710400,1305600,0.571429, 1.900000, 0.467532, 0.000000, 60,32, 0.04170025512576103,0.8258953118603698
140,710400,1036800,0.342857, 1.428571, 0.466321, 0.000000, 60,40, 0.03273820877075195,0.848834437941018
141,710400,1305600,0.575000, 2.206349, 0.480000, 0.000000, 60,51, 0.028613368049263954,0.8258953118603698
142,710400,1382400,0.595238, 1.955556, 0.493151, 0.000000, 60,16, 0.022649142891168594,0.8178490525736161
143,710400,1036800,0.750000, 0.866667, 0.439024, 0.000000, 60,34, 0.0018696495098993182,0.848834437941018
144,710400,1785600,0.452381, 1.595238, 0.375783, 0.000000, 60,9, 0.006683834828436375,0.7636797974196674
145,710400,1209600,0.666667, 1.765873, 0.420561, 0.016667, 60,12, 0.005130699370056391,0.8349986880014587
146,710400,1036800,0.625000, 1.035714, 0.489130, 0.005556, 60,33, 0.0023947879672050476,0.848834437941018
147,710400,1785600,0.541667, 2.339286, 0.469974, 0.000000, 60,32, 0.02550848387181759,0.7636797974196674
148,710400,1036800,0.571429, 0.988095, 0.493151, 0.000000, 60,8, 0.04103346914052963,0.848834437941018
149,710400,1036800,0.533333, 2.119048, 0.164986, 0.000000, 60,56, 0.05746059492230415,0.848834437941018
150,710400,1036800,0.660714, 1.328571, 0.480000, 0.000000, 60,16, 0.004209008067846298,0.848834437941018
151,710400,1036800,0.452381, 1.071429, 0.471204, 0.000000, 60,12, 0.019573170691728592,0.848834437941018
152,710400,1785600,0.714286, 2.192460, 0.482574, 0.000000, 60,51, 0.018859174102544785,0.7636797974196674
153,710400,1036800,0.666667, 1.152381, 0.493151, 0.000000, 60,42, 0.019694045186042786,0.848834437941018
154,710400,1036800,0.761905, 1.521429, 0.486486, 0.000000, 60,58, 0.007504754699766636,0.848834437941018
155,710400,1785600,0.750000, 2.078571, 0.482574, 0.000000, 60,61, 0.002733032451942563,0.7636797974196674
156,710400,1785600,0.333333, 1.666667, 0.465116, 0.000000, 60,62, 0.002497985027730465,0.7636797974196674
157,710400,1036800,0.666667, 1.089286, 0.460358, 0.000000, 60,29, 0.008325496688485146,0.848834437941018
158,710400,1036800,0.533333, 2.058333, 0.480000, 0.000000, 60,62, 0.00152826146222651,0.848834437941018
159,710400,1708800,0.857143, 2.196429, 0.482574, 0.000000, 60,62, 0.0176975317299366,0.7756112608564198
160,710400,1036800,0.366667, 0.828571, 0.482574, 0.000000, 60,41, 0.011661787517368793,0.848834437941018
161,710400,1036800,0.628571, 1.433333, 0.501393, 0.000000, 60,22, 0.006319959182292223,0.848834437941018
162,710400,1305600,0.700000, 2.061905, 0.493151, 0.000000, 60,56, 0.0016972094308584929,0.8258953118603698
163,710400,1785600,0.583333, 2.053571, 0.466321, 0.005556, 60,62, 0.006798132788389921,0.7636797974196674
164,710400,1036800,0.450000, 1.378571, 0.482574, 0.000000, 60,56, 0.008487600833177567,0.848834437941018
165,710400,1113600,0.535714, 1.900000, 0.453401, 0.000000, 60,10, 0.0024236789904534817,0.8430789581987997
166,710400,1382400,0.571429, 2.000000, 0.504202, 0.000000, 60,36, 0.002791330451145768,0.8178490525736161
167,710400,1036800,0.628571, 0.761905, 0.264317, 0.033333, 60,57, 0.0030086245387792587,0.848834437941018
168,710400,1036800,0.685714, 1.695238, 0.476190, 0.000000, 60,47, 0.026750385761260986,0.848834437941018
169,710400,1785600,0.250000, 2.090476, 0.482574, 0.000000, 60,61, 0.002500885399058461,0.7636797974196674
170,710400,1036800,0.650000, 1.261905, 0.493151, 0.000000, 60,35, 0.002556850900873542,0.848834437941018
171,710400,1036800,0.566667, 1.803571, 0.493151, 0.000000, 60,32, 0.027312368154525757,0.848834437941018
172,710400,1785600,0.821429, 2.111111, 0.461538, 0.000000, 60,17, 0.0021260406356304884,0.7636797974196674
173,710400,1382400,0.628571, 1.483333, 0.468750, 0.005556, 60,62, 0.0025112994480878115,0.8178490525736161
174,710400,1036800,0.400000, 1.200000, 0.490463, 0.000000, 60,13, 0.0024475962854921818,0.848834437941018
175,710400,1785600,0.500000, 1.804762, 0.333952, 0.000000, 60,17, 0.0023040021769702435,0.7636797974196674
176,710400,1785600,0.000000, 1.555556, 0.454545, 0.005556, 60,1, 0.003511608112603426,0.7636797974196674
177,710400,1036800,0.750000, 1.021429, 0.433735, 0.000000, 60,41, 0.08389855921268463,0.848834437941018
178,710400,1036800,0.400000, 1.078571, 0.477454, 0.000000, 60,10, 0.005138259846717119,0.848834437941018
179,710400,1785600,0.000000, 1.850000, 0.471204, 0.000000, 60,60, 0.0041763740591704845,0.7636797974196674
180,710400,1305600,0.600000, 1.233333, 0.504202, 0.000000, 60,0, 0.0029881824739277363,0.8258953118603698
181,710400,1036800,0.333333, 1.483333, 0.477454, 0.000000, 60,55, 0.0026660223957151175,0.848834437941018
182,710400,1036800,0.400000, 2.266667, 0.131483, 0.000000, 60,60, 0.003416897961869836,0.848834437941018
183,710400,1632000,0.571429, 2.293651, 0.501393, 0.005556, 60,57, 0.0034052615519613028,0.7867639148918597
184,710400,1036800,0.900000, 0.850000, 0.466321, 0.000000, 60,9, 0.0026743365451693535,0.848834437941018
185,710400,1036800,0.541667, 1.672619, 0.453401, 0.005556, 60,1, 0.0018865412566810846,0.848834437941018
186,710400,1785600,0.533333, 1.636905, 0.477454, 0.000000, 60,56, 0.0023684196639806032,0.7636797974196674
187,710400,1036800,0.250000, 0.783333, 0.167442, 0.005556, 60,14, 0.03573615103960037,0.848834437941018
188,710400,1036800,0.400000, 0.878571, 0.482574, 0.000000, 60,40, 0.004185052122920752,0.848834437941018
189,710400,1785600,0.928571, 2.328571, 0.271084, 0.038889, 60,35, 0.031653981655836105,0.7636797974196674
190,710400,1785600,0.700000, 1.300000, 0.493151, 0.000000, 60,33, 0.0018891998333856463,0.7636797974196674
191,710400,1036800,0.450000, 1.328571, 0.493151, 0.000000, 60,2, 0.001963776769116521,0.848834437941018
192,710400,1036800,0.428571, 1.733333, 0.169811, 0.044444, 60,27, 0.0017642087768763304,0.848834437941018
193,710400,1632000,0.600000, 2.125000, 0.303541, 0.000000, 60,1, 0.0027766830753535032,0.7867639148918597
194,710400,1036800,0.333333, 1.404762, 0.482574, 0.000000, 60,57, 0.0019417575094848871,0.848834437941018
195,710400,1036800,0.650000, 0.800000, 0.490463, 0.005556, 60,25, 0.0016954421298578382,0.848834437941018
196,710400,1555200,0.428571, 1.873016, 0.440098, 0.038889, 60,13, 0.0007924636593088508,0.7971555274427198
197,710400,1036800,0.875000, 1.027381, 0.460358, 0.000000, 60,28, 0.01151571050286293,0.848834437941018
198,710400,1785600,0.750000, 1.880952, 0.149626, 0.022222, 60,54, 0.03274332359433174,0.7636797974196674
199,710400,1036800,0.700000, 1.500000, 0.459184, 0.000000, 60,35, 0.0013164128176867962,0.848834437941018
200,710400,1785600,0.606061, 1.585859, 0.480000, 0.000000, 60,55, 0.0021888702176511288,0.7636797974196674
201,710400,1632000,0.647619, 1.700849, 0.267857, 0.050000, 60,22, 0.0010756126139312983,0.7867639148918597
202,710400,1036800,0.611111, 1.327381, 0.469974, 0.000000, 60,9, 0.00196963082998991,0.848834437941018
203,710400,1036800,0.727778, 1.321788, 0.468750, 0.000000, 60,24, 0.002381672151386738,0.848834437941018
204,710400,1036800,0.672249, 1.500789, 0.482574, 0.000000, 60,48, 0.001554492162540555,0.848834437941018
205,710400,1632000,0.476190, 1.849026, 0.467532, 0.000000, 60,50, 0.02178274281322956,0.7867639148918597
206,710400,1036800,0.366667, 1.194048, 0.493151, 0.000000, 60,42, 0.07691628485918045,0.848834437941018
207,710400,1036800,1.000000, 1.750000, 0.469974, 0.000000, 60,41, 0.07466302812099457,0.848834437941018
208,710400,1036800,0.900000, 1.733333, 0.493151, 0.000000, 60,31, 0.1276344209909439,0.848834437941018
209,710400,1785600,0.428571, 1.571429, 0.501393, 0.000000, 60,48, 0.0010937323095276952,0.7636797974196674
210,710400,1036800,0.500000, 1.160714, 0.482574, 0.000000, 60,0, 0.0029460941441357136,0.848834437941018
211,710400,1305600,0.541667, 1.857143, 0.392157, 0.000000, 60,42, 0.002242222661152482,0.8258953118603698
212,710400,1036800,0.450000, 1.035714, 0.375000, 0.022222, 60,56, 0.02783788926899433,0.848834437941018
213,710400,1036800,0.595238, 1.000000, 0.444444, 0.000000, 60,26, 0.027101406827569008,0.848834437941018
214,710400,1708800,0.542857, 2.089286, 0.458015, 0.000000, 60,47, 0.019223108887672424,0.7756112608564198
215,710400,1036800,0.533333, 1.744444, 0.406321, 0.005556, 60,53, 0.016678115352988243,0.848834437941018
216,710400,1036800,0.333333, 1.380952, 0.458015, 0.000000, 60,18, 0.0024683750234544277,0.848834437941018
217,710400,1305600,0.775000, 1.440476, 0.473684, 0.005556, 60,34, 0.009078292176127434,0.8258953118603698
218,710400,1036800,0.333333, 1.130556, 0.467532, 0.000000, 60,13, 0.009240107610821724,0.848834437941018
219,710400,1036800,0.500000, 1.800000, 0.487805, 0.000000, 60,12, 0.001948269084095955,0.848834437941018
220,710400,1785600,0.400000, 2.535714, 0.346154, 0.000000, 60,51, 0.025135483592748642,0.7636797974196674
221,710400,1036800,0.366667, 1.071429, 0.480000, 0.000000, 60,9, 0.0013698212569579482,0.848834437941018
222,710400,1785600,0.333333, 1.947619, 0.465116, 0.005556, 60,7, 0.0015067794593051076,0.7636797974196674
223,710400,1555200,0.500000, 1.944444, 0.476190, 0.005556, 60,61, 0.005013152025640011,0.7971555274427198
224,710400,1036800,0.571429, 1.642857, 0.491803, 0.000000, 60,13, 0.003065188881009817,0.848834437941018
225,710400,1785600,0.375000, 1.804762, 0.476190, 0.000000, 60,38, 0.0058976891450583935,0.7636797974196674
226,710400,1036800,0.166667, 1.410714, 0.474934, 0.005556, 60,12, 0.0015087822685018182,0.848834437941018
227,710400,1036800,0.366667, 1.428571, 0.482574, 0.000000, 60,61, 0.005636358633637428,0.848834437941018
228,710400,1305600,0.833333, 1.791667, 0.357143, 0.000000, 60,63, 0.005489799659699202,0.8258953118603698
229,710400,1785600,0.450000, 1.533987, 0.466321, 0.000000, 60,34, 0.0022837198339402676,0.7636797974196674
230,710400,1036800,0.200000, 1.378571, 0.299003, 0.000000, 60,37, 0.015560050494968891,0.848834437941018
231,710400,1036800,0.142857, 1.464286, 0.490463, 0.000000, 60,9, 0.09236124902963638,0.848834437941018
232,825600,1478400,0.375000, 2.053571, 0.469974, 0.000000, 60,48, 0.0029712680261582136,0.7964733219604937
233,710400,1785600,0.533333, 1.803571, 0.490463, 0.000000, 60,18, 0.01456215139478445,0.7636797974196674
234,710400,1036800,0.587302, 1.194048, 0.478723, 0.000000, 60,63, 0.0017760954797267914,0.848834437941018
235,710400,1785600,0.428571, 1.690476, 0.288462, 0.000000, 59,26, 0.01210580300539732,0.7636797974196674
236,710400,1036800,0.555556, 1.077778, 0.364372, 0.000000, 59,22, 0.04204057529568672,0.848834437941018
237,710400,1785600,0.458333, 1.687302, 0.482574, 0.000000, 59,1, 0.005807044915854931,0.7636797974196674
238,710400,1036800,0.309524, 1.035714, 0.504202, 0.000000, 59,26, 0.0025501539930701256,0.848834437941018
239,710400,1785600,0.541667, 1.975000, 0.483871, 0.000000, 59,13, 0.002930196700617671,0.7636797974196674
240,710400,1209600,0.366667, 1.750000, 0.452261, 0.000000, 58,26, 0.022993624210357666,0.8349986880014587
241,710400,1036800,0.200000, 1.233333, 0.482574, 0.000000, 58,21, 0.004900536499917507,0.848834437941018
242,710400,1036800,0.000000, 1.566667, 0.493151, 0.000000, 58,10, 0.006509247235953808,0.848834437941018
243,710400,1113600,0.485714, 1.666667, 0.303541, 0.000000, 58,27, 0.0014356132596731186,0.8430789581987997
