big_cpu_freq,little_cpu_freq,fps,mem,little_util,big_util,ipc,cache_miss
710400,1036800,60,4066856,1.502241,0.333333,0.493151,0.000000
1612800,1785600,60,4064792,1.759967,0.687500,0.472441,0.000000
710400,1113600,58,4065044,1.583100,0.692954,0.480000,0.000000
710400,1036800,58,4066012,1.325572,0.560784,0.460358,0.000000
710400,1036800,59,4066528,1.407692,0.384615,0.493151,0.000000
710400,1036800,59,4065932,1.174679,0.436975,0.400891,0.000000
710400,1036800,59,4065956,1.590196,0.219780,0.489130,0.000000
710400,1036800,59,4066040,1.193269,0.426471,0.504202,0.000000
710400,1036800,58,4065224,1.715535,0.296703,0.377358,0.011111
710400,1785600,60,4065756,1.616667,0.000000,0.439024,0.000000
710400,1036800,60,4065992,1.413889,0.287179,0.478723,0.000000
710400,1209600,60,4066184,1.627279,0.437500,0.482574,0.000000
710400,1036800,60,4066028,1.103846,0.319328,0.472441,0.000000
710400,1785600,60,4066412,1.624320,0.431818,0.353635,0.000000
710400,1785600,60,4066288,1.833751,0.266667,0.455696,0.005556
710400,1036800,60,4065204,1.614251,0.562500,0.481283,0.000000
710400,1113600,60,4065560,1.525210,0.276923,0.504202,0.000000
710400,1209600,60,4065648,1.733161,0.353846,0.436893,0.000000
710400,1785600,60,4065032,1.484615,0.200000,0.173244,0.000000
710400,1036800,60,4064916,1.468803,0.400000,0.463918,0.000000
710400,1305600,60,4064596,1.208333,0.375000,0.469974,0.000000
825600,1785600,60,4063712,1.935065,0.369048,0.412844,0.000000
710400,1632000,60,4064284,1.168452,0.214286,0.466321,0.000000
710400,1036800,60,4064096,1.497235,0.276923,0.472441,0.000000
710400,1036800,60,4064128,1.187047,0.326923,0.240000,0.000000
710400,1036800,60,4064020,1.336975,0.450000,0.473684,0.005556
710400,1036800,60,4064364,1.806627,0.333333,0.481283,0.005556
710400,1036800,60,4064256,1.414530,0.342857,0.482574,0.000000
710400,1036800,60,4062976,1.384905,0.454167,0.477454,0.000000
710400,1209600,60,4063440,1.099878,0.330357,0.116883,0.005556
710400,1036800,60,4063864,1.389706,0.466667,0.448878,0.000000
710400,1036800,60,4063296,1.216871,0.428571,0.490463,0.005556
710400,1036800,60,4062908,1.166084,0.600000,0.103986,0.005556
710400,1036800,60,4062692,1.620047,0.550000,0.493151,0.000000
710400,1036800,60,4062520,1.384279,0.550000,0.460358,0.000000
710400,1036800,60,4062924,1.816440,0.790441,0.480000,0.000000
710400,1036800,60,4064328,1.468382,0.547619,0.469974,0.000000
710400,1036800,60,4063092,1.283710,0.666667,0.493151,0.000000
710400,1036800,60,4062972,1.604747,0.660633,0.456853,0.000000
710400,1036800,60,4062564,1.658626,0.619048,0.350877,0.000000
710400,1036800,60,4062228,1.606209,0.587912,0.477454,0.000000
710400,1036800,60,4060956,1.669293,0.619048,0.482574,0.000000
710400,1036800,60,4062984,1.001898,0.712500,0.472441,0.000000
710400,1036800,60,4061992,1.332051,0.690476,0.493151,0.005556
710400,1036800,60,4062208,1.098214,0.598214,0.477454,0.000000
