episode,big_cpu_freq,little_cpu_freq,big_util,little_util,ipc,cache_miss,fps,action,loss,reward
1798,710400,576000,0.250000, 1.933333, 0.471204, 0.005556, 26,8, 0.0017058387165889144,0.9114796459399551
1799,710400,576000,0.000000, 1.833333, 0.493151, 0.016667, 26,8, 0.0015704832039773464,0.9114796459399551
1800,710400,576000,0.142857, 3.214286, 0.490463, 0.011111, 26,8, 0.0015749328304082155,0.9114796459399551
1801,710400,576000,0.450000, 2.650000, 0.480000, 0.016667, 26,8, 0.0009392314241267741,0.9114796459399551
1802,710400,576000,0.250000, 2.166667, 0.468750, 0.005556, 26,0, 0.0008308244287036359,0.9114796459399551
1803,710400,576000,0.450000, 2.100000, 0.454545, 0.022222, 26,0, 0.0017083794809877872,0.9114796459399551
1804,710400,576000,0.200000, 2.100000, 0.478723, 0.011111, 26,0, 0.0021919929422438145,0.9114796459399551
1805,710400,576000,0.250000, 2.333333, 0.443350, 0.011111, 26,0, 0.0021175495348870754,0.9114796459399551
1806,710400,576000,0.000000, 3.200000, 0.465116, 0.016667, 26,0, 0.0013510799035429955,0.9114796459399551
1807,710400,576000,0.000000, 2.150000, 0.493151, 0.016667, 26,0, 0.0014470041496679187,0.9114796459399551
1808,710400,576000,0.166667, 2.350000, 0.490463, 0.016667, 26,0, 0.0011690163519233465,0.9114796459399551
1809,710400,576000,1.333333, 2.250000, 0.480000, 0.011111, 26,0, 0.0013493880396708846,0.9114796459399551
1810,710400,576000,0.750000, 2.433333, 0.387097, 0.038889, 26,0, 0.001688202260993421,0.9114796459399551
1811,940800,576000,0.166667, 3.004762, 0.490463, 0.016667, 26,9, 0.0016519587952643633,0.8867226650575445
1812,710400,576000,0.000000, 2.250000, 0.480000, 0.016667, 26,8, 0.0017830936703830957,0.9114796459399551
1813,710400,576000,0.595238, 1.633333, 0.482574, 0.016667, 26,8, 0.0013547568814828992,0.9114796459399551
